term_id,contract_id,customer_id,product_id,effective_date,expiration_date,price_formula,base_index_code,index_adjustment,fixed_price,floor_price,ceiling_price,min_volume_mt,max_volume_mt,volume_tier_1_mt,volume_tier_1_discount,volume_tier_2_mt,volume_tier_2_discount,payment_terms_days,early_pay_discount_pct,contract_status,contract_type
15,CTR-00005,CUST-00005,DEG-001,2025-09-17,2026-09-17,BEN-FOB-USG + $30/MT,BEN-FOB-USG,30,,840.0,1200.0,42.0,126.0,63.0,2,105.0,4,30,0,ACTIVE,MULTI_YEAR
16,CTR-00005,CUST-00005,PP-001,2025-02-27,2026-02-27,PP-DEL-USG + $50/MT,PP-DEL-USG,50,,1155.0,1650.0,42.0,126.0,63.0,2,105.0,4,30,0,ACTIVE,ANNUAL
17,CTR-00006,CUST-00006,BEN-001,2025-07-09,2026-07-09,ETH-DEL-USG + $30/MT,ETH-DEL-USG,30,,945.0,1350.0,85.0,255.0,127.5,2,212.5,4,45,1,ACTIVE,MULTI_YEAR
18,CTR-00006,CUST-00006,LDPE-001,2025-10-19,2026-10-19,PP-DEL-USG + $100/MT,PP-DEL-USG,100,,1417.5,2025.0,85.0,255.0,127.5,2,212.5,4,45,1,ACTIVE,ANNUAL
19,CTR-00006,CUST-00006,PS-001,2025-04-09,2026-04-09,PP-DEL-USG + $75/MT,PP-DEL-USG,75,,1312.5,1875.0,85.0,255.0,127.5,2,212.5,4,45,1,ACTIVE,ANNUAL
20,CTR-00006,CUST-00006,STY-001,2025-11-10,2026-11-10,PP-DEL-USG + $-25/MT,PP-DEL-USG,-25,,1207.5,1725.0,85.0,255.0,127.5,2,212.5,4,45,1,ACTIVE,MULTI_YEAR
21,CTR-00006,CUST-00006,ACN-001,2025-12-14,2026-12-14,BEN-FOB-USG + $50/MT,BEN-FOB-USG,50,,1470.0,2100.0,85.0,255.0,127.5,2,212.5,4,45,1,ACTIVE,ANNUAL
22,CTR-00007,CUST-00007,ACN-001,2025-11-13,2026-11-13,BEN-FOB-USG + $100/MT,BEN-FOB-USG,100,,1470.0,2100.0,30.0,90.0,45.0,2,75.0,4,45,1,ACTIVE,MULTI_YEAR
23,CTR-00007,CUST-00007,MEG-001,2025-10-22,2026-10-22,BEN-FOB-USG + $100/MT,BEN-FOB-USG,100,,787.5,1125.0,30.0,90.0,45.0,2,75.0,4,45,1,ACTIVE,ANNUAL
24,CTR-00008,CUST-00008,HDPE-001,2025-04-15,2026-04-15,BEN-FOB-USG + $50/MT,BEN-FOB-USG,50,,1365.0,1950.0,503.0,1509.0,754.5,2,1257.5,4,30,0,ACTIVE,ANNUAL
25,CTR-00008,CUST-00008,PP-HOMO,2025-04-05,2026-04-05,PP-DEL-USG + $100/MT,PP-DEL-USG,100,,1470.0,2100.0,503.0,1509.0,754.5,2,1257.5,4,30,0,ACTIVE,ANNUAL
26,CTR-00012,CUST-00012,MMA-001,2025-10-15,2026-10-15,BEN-FOB-USG + $75/MT,BEN-FOB-USG,75,,1680.0,2400.0,876.0,2628.0,1314.0,2,2190.0,4,30,0,ACTIVE,ANNUAL
27,CTR-00012,CUST-00012,MEG-001,2025-06-23,2026-06-23,BEN-FOB-USG + $-25/MT,BEN-FOB-USG,-25,,787.5,1125.0,876.0,2628.0,1314.0,2,2190.0,4,30,0,ACTIVE,MULTI_YEAR
28,CTR-00012,CUST-00012,ACN-001,2025-04-09,2026-04-09,BEN-FOB-USG + $100/MT,BEN-FOB-USG,100,,1470.0,2100.0,876.0,2628.0,1314.0,2,2190.0,4,30,0,ACTIVE,ANNUAL
29,CTR-00012,CUST-00012,PP-001,2025-02-13,2026-02-13,PP-DEL-USG + $30/MT,PP-DEL-USG,30,,1155.0,1650.0,876.0,2628.0,1314.0,2,2190.0,4,30,0,ACTIVE,ANNUAL
30,CTR-00022,CUST-00022,DEG-001,2025-08-07,2026-08-07,ETH-DEL-USG + $100/MT,ETH-DEL-USG,100,,840.0,1200.0,38.0,114.0,57.0,2,95.0,4,30,0,ACTIVE,MULTI_YEAR
31,CTR-00022,CUST-00022,ETH-001,2025-08-27,2026-08-27,BEN-FOB-USG + $100/MT,BEN-FOB-USG,100,,997.5,1425.0,38.0,114.0,57.0,2,95.0,4,30,0,ACTIVE,MULTI_YEAR
32,CTR-00022,CUST-00022,BEN-001,2025-11-08,2026-11-08,PP-DEL-USG + $75/MT,PP-DEL-USG,75,,945.0,1350.0,38.0,114.0,57.0,2,95.0,4,30,0,ACTIVE,ANNUAL
33,CTR-00022,CUST-00022,PVC-001,2025-03-24,2026-03-24,BEN-FOB-USG + $50/MT,BEN-FOB-USG,50,,1155.0,1650.0,38.0,114.0,57.0,2,95.0,4,30,0,ACTIVE,ANNUAL
34,CTR-00022,CUST-00022,LDPE-001,2025-08-04,2026-08-04,BEN-FOB-USG + $100/MT,BEN-FOB-USG,100,,1417.5,2025.0,38.0,114.0,57.0,2,95.0,4,30,0,ACTIVE,ANNUAL
35,CTR-00023,CUST-00023,ACN-001,2025-09-17,2026-09-17,ETH-DEL-USG + $75/MT,ETH-DEL-USG,75,,1470.0,2100.0,86.0,258.0,129.0,2,215.0,4,30,0,ACTIVE,MULTI_YEAR
36,CTR-00023,CUST-00023,MEG-001,2025-03-11,2026-03-11,PP-DEL-USG + $100/MT,PP-DEL-USG,100,,787.5,1125.0,86.0,258.0,129.0,2,215.0,4,30,0,ACTIVE,MULTI_YEAR
37,CTR-00023,CUST-00023,PS-001,2025-06-22,2026-06-22,ETH-DEL-USG + $75/MT,ETH-DEL-USG,75,,1312.5,1875.0,86.0,258.0,129.0,2,215.0,4,30,0,ACTIVE,ANNUAL
38,CTR-00023,CUST-00023,STY-001,2025-12-19,2026-12-19,ETH-DEL-USG + $50/MT,ETH-DEL-USG,50,,1207.5,1725.0,86.0,258.0,129.0,2,215.0,4,30,0,ACTIVE,MULTI_YEAR
39,CTR-00025,CUST-00025,DEG-001,2025-08-21,2026-08-21,ETH-DEL-USG + $75/MT,ETH-DEL-USG,75,,840.0,1200.0,152.0,456.0,228.0,2,380.0,4,30,0,ACTIVE,ANNUAL
40,CTR-00025,CUST-00025,TOL-001,2025-02-11,2026-02-11,BEN-FOB-USG + $100/MT,BEN-FOB-USG,100,,892.5,1275.0,152.0,456.0,228.0,2,380.0,4,30,0,ACTIVE,ANNUAL
41,CTR-00025,CUST-00025,MEG-001,2025-06-19,2026-06-19,PP-DEL-USG + $100/MT,PP-DEL-USG,100,,787.5,1125.0,152.0,456.0,228.0,2,380.0,4,30,0,ACTIVE,ANNUAL
42,CTR-00029,CUST-00029,MMA-001,2025-03-31,2026-03-31,BEN-FOB-USG + $50/MT,BEN-FOB-USG,50,,1680.0,2400.0,449.0,1347.0,673.5,2,1122.5,4,45,1,ACTIVE,MULTI_YEAR
43,CTR-00029,CUST-00029,HDPE-001,2025-12-13,2026-12-13,PP-DEL-USG + $30/MT,PP-DEL-USG,30,,1365.0,1950.0,449.0,1347.0,673.5,2,1122.5,4,45,1,ACTIVE,MULTI_YEAR
44,CTR-00029,CUST-00029,PS-001,2025-02-12,2026-02-12,ETH-DEL-USG + $30/MT,ETH-DEL-USG,30,,1312.5,1875.0,449.0,1347.0,673.5,2,1122.5,4,45,1,ACTIVE,MULTI_YEAR
45,CTR-00029,CUST-00029,PP-HOMO,2025-07-18,2026-07-18,PP-DEL-USG + $30/MT,PP-DEL-USG,30,,1470.0,2100.0,449.0,1347.0,673.5,2,1122.5,4,45,1,ACTIVE,ANNUAL
46,CTR-00029,CUST-00029,TOL-001,2025-03-16,2026-03-16,BEN-FOB-USG + $100/MT,BEN-FOB-USG,100,,892.5,1275.0,449.0,1347.0,673.5,2,1122.5,4,45,1,ACTIVE,MULTI_YEAR
47,CTR-00030,CUST-00030,BUT-001,2025-05-25,2026-05-25,ETH-DEL-USG + $50/MT,ETH-DEL-USG,50,,1260.0,1800.0,12.0,36.0,18.0,2,30.0,4,30,0,ACTIVE,MULTI_YEAR
48,CTR-00030,CUST-00030,HDPE-001,2025-07-13,2026-07-13,PP-DEL-USG + $75/MT,PP-DEL-USG,75,,1365.0,1950.0,12.0,36.0,18.0,2,30.0,4,30,0,ACTIVE,MULTI_YEAR
49,CTR-00030,CUST-00030,DEG-001,2025-06-08,2026-06-08,PP-DEL-USG + $50/MT,PP-DEL-USG,50,,840.0,1200.0,12.0,36.0,18.0,2,30.0,4,30,0,ACTIVE,ANNUAL
50,CTR-00032,CUST-00032,PVC-001,2025-03-07,2026-03-07,BEN-FOB-USG + $30/MT,BEN-FOB-USG,30,,1155.0,1650.0,93.0,279.0,139.5,2,232.5,4,45,1,ACTIVE,MULTI_YEAR
51,CTR-00032,CUST-00032,DEG-001,2025-07-08,2026-07-08,BEN-FOB-USG + $100/MT,BEN-FOB-USG,100,,840.0,1200.0,93.0,279.0,139.5,2,232.5,4,45,1,ACTIVE,MULTI_YEAR
52,CTR-00032,CUST-00032,XYL-001,2025-10-28,2026-10-28,ETH-DEL-USG + $-25/MT,ETH-DEL-USG,-25,,924.0,1320.0,93.0,279.0,139.5,2,232.5,4,45,1,ACTIVE,ANNUAL
53,CTR-00036,CUST-00036,PS-001,2025-02-27,2026-02-27,BEN-FOB-USG + $100/MT,BEN-FOB-USG,100,,1312.5,1875.0,826.0,2478.0,1239.0,2,2065.0,4,45,1,ACTIVE,ANNUAL
54,CTR-00036,CUST-00036,BUT-001,2025-07-31,2026-07-31,BEN-FOB-USG + $50/MT,BEN-FOB-USG,50,,1260.0,1800.0,826.0,2478.0,1239.0,2,2065.0,4,45,1,ACTIVE,ANNUAL
55,CTR-00036,CUST-00036,HDPE-001,2025-02-12,2026-02-12,PP-DEL-USG + $50/MT,PP-DEL-USG,50,,1365.0,1950.0,826.0,2478.0,1239.0,2,2065.0,4,45,1,ACTIVE,MULTI_YEAR
56,CTR-00036,CUST-00036,ACN-001,2025-04-04,2026-04-04,ETH-DEL-USG + $75/MT,ETH-DEL-USG,75,,1470.0,2100.0,826.0,2478.0,1239.0,2,2065.0,4,45,1,ACTIVE,ANNUAL
57,CTR-00040,CUST-00040,PP-002,2025-03-10,2026-03-10,ETH-DEL-USG + $50/MT,ETH-DEL-USG,50,,1102.5,1575.0,145.0,435.0,217.5,2,362.5,4,30,0,ACTIVE,ANNUAL
58,CTR-00040,CUST-00040,PP-COPOLY,2025-12-18,2026-12-18,BEN-FOB-USG + $75/MT,BEN-FOB-USG,75,,1522.5,2175.0,145.0,435.0,217.5,2,362.5,4,30,0,ACTIVE,MULTI_YEAR
59,CTR-00040,CUST-00040,PP-HOMO,2025-01-24,2026-01-24,BEN-FOB-USG + $-25/MT,BEN-FOB-USG,-25,,1470.0,2100.0,145.0,435.0,217.5,2,362.5,4,30,0,ACTIVE,MULTI_YEAR
60,CTR-00042,CUST-00042,STY-001,2025-06-21,2026-06-21,PP-DEL-USG + $30/MT,PP-DEL-USG,30,,1207.5,1725.0,342.0,1026.0,513.0,2,855.0,4,45,1,ACTIVE,ANNUAL
61,CTR-00042,CUST-00042,PP-001,2025-05-09,2026-05-09,ETH-DEL-USG + $50/MT,ETH-DEL-USG,50,,1155.0,1650.0,342.0,1026.0,513.0,2,855.0,4,45,1,ACTIVE,ANNUAL
62,CTR-00042,CUST-00042,ETH-001,2025-01-28,2026-01-28,BEN-FOB-USG + $30/MT,BEN-FOB-USG,30,,997.5,1425.0,342.0,1026.0,513.0,2,855.0,4,45,1,ACTIVE,ANNUAL
63,CTR-00042,CUST-00042,PP-002,2025-12-21,2026-12-21,ETH-DEL-USG + $100/MT,ETH-DEL-USG,100,,1102.5,1575.0,342.0,1026.0,513.0,2,855.0,4,45,1,ACTIVE,MULTI_YEAR
64,CTR-00042,CUST-00042,PS-001,2025-11-06,2026-11-06,ETH-DEL-USG + $-25/MT,ETH-DEL-USG,-25,,1312.5,1875.0,342.0,1026.0,513.0,2,855.0,4,45,1,ACTIVE,ANNUAL
65,CTR-00043,CUST-00043,ETH-001,2025-12-03,2026-12-03,BEN-FOB-USG + $30/MT,BEN-FOB-USG,30,,997.5,1425.0,18.0,54.0,27.0,2,45.0,4,45,1,ACTIVE,MULTI_YEAR
66,CTR-00043,CUST-00043,LLDPE-001,2025-03-08,2026-03-08,BEN-FOB-USG + $50/MT,BEN-FOB-USG,50,,1344.0,1920.0,18.0,54.0,27.0,2,45.0,4,45,1,ACTIVE,MULTI_YEAR
67,CTR-00043,CUST-00043,MEG-001,2025-12-17,2026-12-17,PP-DEL-USG + $75/MT,PP-DEL-USG,75,,787.5,1125.0,18.0,54.0,27.0,2,45.0,4,45,1,ACTIVE,ANNUAL
68,CTR-00043,CUST-00043,STY-001,2025-05-20,2026-05-20,PP-DEL-USG + $50/MT,PP-DEL-USG,50,,1207.5,1725.0,18.0,54.0,27.0,2,45.0,4,45,1,ACTIVE,ANNUAL
69,CTR-00046,CUST-00046,XYL-001,2025-07-07,2026-07-07,BEN-FOB-USG + $75/MT,BEN-FOB-USG,75,,924.0,1320.0,272.0,816.0,408.0,2,680.0,4,30,0,ACTIVE,ANNUAL
70,CTR-00046,CUST-00046,PP-COPOLY,2025-05-14,2026-05-14,ETH-DEL-USG + $-25/MT,ETH-DEL-USG,-25,,1522.5,2175.0,272.0,816.0,408.0,2,680.0,4,30,0,ACTIVE,ANNUAL
71,CTR-00046,CUST-00046,STY-001,2025-05-30,2026-05-30,ETH-DEL-USG + $-25/MT,ETH-DEL-USG,-25,,1207.5,1725.0,272.0,816.0,408.0,2,680.0,4,30,0,ACTIVE,MULTI_YEAR
72,CTR-00046,CUST-00046,TOL-001,2025-01-23,2026-01-23,PP-DEL-USG + $75/MT,PP-DEL-USG,75,,892.5,1275.0,272.0,816.0,408.0,2,680.0,4,30,0,ACTIVE,MULTI_YEAR
73,CTR-00049,CUST-00049,HDPE-001,2025-03-13,2026-03-13,BEN-FOB-USG + $-25/MT,BEN-FOB-USG,-25,,1365.0,1950.0,198.0,594.0,297.0,2,495.0,4,30,0,ACTIVE,MULTI_YEAR
74,CTR-00049,CUST-00049,TOL-001,2025-04-18,2026-04-18,BEN-FOB-USG + $50/MT,BEN-FOB-USG,50,,892.5,1275.0,198.0,594.0,297.0,2,495.0,4,30,0,ACTIVE,MULTI_YEAR
75,CTR-00049,CUST-00049,STY-001,2025-05-08,2026-05-08,ETH-DEL-USG + $75/MT,ETH-DEL-USG,75,,1207.5,1725.0,198.0,594.0,297.0,2,495.0,4,30,0,ACTIVE,MULTI_YEAR
76,CTR-00049,CUST-00049,PP-002,2025-02-13,2026-02-13,BEN-FOB-USG + $50/MT,BEN-FOB-USG,50,,1102.5,1575.0,198.0,594.0,297.0,2,495.0,4,30,0,ACTIVE,MULTI_YEAR
77,CTR-00049,CUST-00049,PP-HOMO,2025-05-12,2026-05-12,ETH-DEL-USG + $-25/MT,ETH-DEL-USG,-25,,1470.0,2100.0,198.0,594.0,297.0,2,495.0,4,30,0,ACTIVE,MULTI_YEAR
78,CTR-00050,CUST-00050,MMA-001,2025-12-11,2026-12-11,PP-DEL-USG + $100/MT,PP-DEL-USG,100,,1680.0,2400.0,102.0,306.0,153.0,2,255.0,4,45,1,ACTIVE,MULTI_YEAR
79,CTR-00050,CUST-00050,PP-002,2025-02-06,2026-02-06,PP-DEL-USG + $-25/MT,PP-DEL-USG,-25,,1102.5,1575.0,102.0,306.0,153.0,2,255.0,4,45,1,ACTIVE,MULTI_YEAR
80,CTR-00050,CUST-00050,ETH-001,2025-02-09,2026-02-09,ETH-DEL-USG + $50/MT,ETH-DEL-USG,50,,997.5,1425.0,102.0,306.0,153.0,2,255.0,4,45,1,ACTIVE,MULTI_YEAR
81,CTR-00054,CUST-00054,BUT-001,2025-12-16,2026-12-16,PP-DEL-USG + $50/MT,PP-DEL-USG,50,,1260.0,1800.0,1126.0,3378.0,1689.0,2,2815.0,4,45,1,ACTIVE,ANNUAL
82,CTR-00054,CUST-00054,MMA-001,2025-11-01,2026-11-01,BEN-FOB-USG + $100/MT,BEN-FOB-USG,100,,1680.0,2400.0,1126.0,3378.0,1689.0,2,2815.0,4,45,1,ACTIVE,MULTI_YEAR
83,CTR-00054,CUST-00054,LDPE-001,2025-05-23,2026-05-23,BEN-FOB-USG + $50/MT,BEN-FOB-USG,50,,1417.5,2025.0,1126.0,3378.0,1689.0,2,2815.0,4,45,1,ACTIVE,MULTI_YEAR
84,CTR-00054,CUST-00054,STY-001,2025-07-27,2026-07-27,PP-DEL-USG + $-25/MT,PP-DEL-USG,-25,,1207.5,1725.0,1126.0,3378.0,1689.0,2,2815.0,4,45,1,ACTIVE,ANNUAL
85,CTR-00057,CUST-00057,LLDPE-001,2025-11-28,2026-11-28,BEN-FOB-USG + $-25/MT,BEN-FOB-USG,-25,,1344.0,1920.0,23.0,69.0,34.5,2,57.5,4,30,0,ACTIVE,MULTI_YEAR
86,CTR-00057,CUST-00057,XYL-001,2025-05-26,2026-05-26,BEN-FOB-USG + $75/MT,BEN-FOB-USG,75,,924.0,1320.0,23.0,69.0,34.5,2,57.5,4,30,0,ACTIVE,ANNUAL
87,CTR-00057,CUST-00057,MMA-001,2025-03-22,2026-03-22,PP-DEL-USG + $100/MT,PP-DEL-USG,100,,1680.0,2400.0,23.0,69.0,34.5,2,57.5,4,30,0,ACTIVE,ANNUAL
88,CTR-00058,CUST-00058,MMA-001,2025-07-07,2026-07-07,ETH-DEL-USG + $75/MT,ETH-DEL-USG,75,,1680.0,2400.0,55.0,165.0,82.5,2,137.5,4,30,0,ACTIVE,ANNUAL
89,CTR-00058,CUST-00058,PP-002,2025-08-28,2026-08-28,ETH-DEL-USG + $100/MT,ETH-DEL-USG,100,,1102.5,1575.0,55.0,165.0,82.5,2,137.5,4,30,0,ACTIVE,ANNUAL
90,CTR-00058,CUST-00058,STY-001,2025-10-09,2026-10-09,ETH-DEL-USG + $-25/MT,ETH-DEL-USG,-25,,1207.5,1725.0,55.0,165.0,82.5,2,137.5,4,30,0,ACTIVE,MULTI_YEAR
91,CTR-00059,CUST-00059,STY-001,2025-09-25,2026-09-25,PP-DEL-USG + $50/MT,PP-DEL-USG,50,,1207.5,1725.0,12.0,36.0,18.0,2,30.0,4,30,0,ACTIVE,MULTI_YEAR
92,CTR-00059,CUST-00059,PVC-001,2025-10-17,2026-10-17,BEN-FOB-USG + $100/MT,BEN-FOB-USG,100,,1155.0,1650.0,12.0,36.0,18.0,2,30.0,4,30,0,ACTIVE,MULTI_YEAR
93,CTR-00059,CUST-00059,PP-001,2025-03-24,2026-03-24,ETH-DEL-USG + $100/MT,ETH-DEL-USG,100,,1155.0,1650.0,12.0,36.0,18.0,2,30.0,4,30,0,ACTIVE,MULTI_YEAR
94,CTR-00064,CUST-00064,MMA-001,2025-10-04,2026-10-04,BEN-FOB-USG + $75/MT,BEN-FOB-USG,75,,1680.0,2400.0,110.0,330.0,165.0,2,275.0,4,30,0,ACTIVE,MULTI_YEAR
95,CTR-00064,CUST-00064,MEG-001,2025-10-07,2026-10-07,ETH-DEL-USG + $30/MT,ETH-DEL-USG,30,,787.5,1125.0,110.0,330.0,165.0,2,275.0,4,30,0,ACTIVE,MULTI_YEAR
96,CTR-00064,CUST-00064,PP-002,2025-07-09,2026-07-09,ETH-DEL-USG + $50/MT,ETH-DEL-USG,50,,1102.5,1575.0,110.0,330.0,165.0,2,275.0,4,30,0,ACTIVE,ANNUAL
97,CTR-00064,CUST-00064,ETH-001,2025-06-27,2026-06-27,BEN-FOB-USG + $30/MT,BEN-FOB-USG,30,,997.5,1425.0,110.0,330.0,165.0,2,275.0,4,30,0,ACTIVE,MULTI_YEAR
98,CTR-00073,CUST-00073,STY-001,2025-10-23,2026-10-23,BEN-FOB-USG + $-25/MT,BEN-FOB-USG,-25,,1207.5,1725.0,1.0,3.0,1.5,2,2.5,4,30,0,ACTIVE,MULTI_YEAR
99,CTR-00073,CUST-00073,BEN-001,2025-07-17,2026-07-17,ETH-DEL-USG + $-25/MT,ETH-DEL-USG,-25,,945.0,1350.0,1.0,3.0,1.5,2,2.5,4,30,0,ACTIVE,ANNUAL
100,CTR-00073,CUST-00073,PP-002,2025-11-11,2026-11-11,PP-DEL-USG + $100/MT,PP-DEL-USG,100,,1102.5,1575.0,1.0,3.0,1.5,2,2.5,4,30,0,ACTIVE,MULTI_YEAR
101,CTR-00073,CUST-00073,TOL-001,2025-10-03,2026-10-03,PP-DEL-USG + $-25/MT,PP-DEL-USG,-25,,892.5,1275.0,1.0,3.0,1.5,2,2.5,4,30,0,ACTIVE,MULTI_YEAR
102,CTR-00075,CUST-00075,HDPE-001,2025-04-23,2026-04-23,BEN-FOB-USG + $75/MT,BEN-FOB-USG,75,,1365.0,1950.0,307.0,921.0,460.5,2,767.5,4,30,0,ACTIVE,ANNUAL
103,CTR-00075,CUST-00075,MMA-001,2025-10-24,2026-10-24,ETH-DEL-USG + $-25/MT,ETH-DEL-USG,-25,,1680.0,2400.0,307.0,921.0,460.5,2,767.5,4,30,0,ACTIVE,ANNUAL
104,CTR-00075,CUST-00075,MEG-001,2025-04-09,2026-04-09,BEN-FOB-USG + $75/MT,BEN-FOB-USG,75,,787.5,1125.0,307.0,921.0,460.5,2,767.5,4,30,0,ACTIVE,MULTI_YEAR
105,CTR-00075,CUST-00075,PP-002,2025-04-06,2026-04-06,ETH-DEL-USG + $30/MT,ETH-DEL-USG,30,,1102.5,1575.0,307.0,921.0,460.5,2,767.5,4,30,0,ACTIVE,ANNUAL
106,CTR-00076,CUST-00076,PP-001,2025-09-05,2026-09-05,ETH-DEL-USG + $50/MT,ETH-DEL-USG,50,,1155.0,1650.0,326.0,978.0,489.0,2,815.0,4,30,0,ACTIVE,MULTI_YEAR
107,CTR-00076,CUST-00076,TOL-001,2025-03-13,2026-03-13,BEN-FOB-USG + $50/MT,BEN-FOB-USG,50,,892.5,1275.0,326.0,978.0,489.0,2,815.0,4,30,0,ACTIVE,MULTI_YEAR
108,CTR-00076,CUST-00076,PVC-001,2025-11-03,2026-11-03,BEN-FOB-USG + $75/MT,BEN-FOB-USG,75,,1155.0,1650.0,326.0,978.0,489.0,2,815.0,4,30,0,ACTIVE,MULTI_YEAR
109,CTR-00076,CUST-00076,PP-002,2025-01-30,2026-01-30,ETH-DEL-USG + $100/MT,ETH-DEL-USG,100,,1102.5,1575.0,326.0,978.0,489.0,2,815.0,4,30,0,ACTIVE,ANNUAL
110,CTR-00076,CUST-00076,MEG-001,2025-03-29,2026-03-29,ETH-DEL-USG + $50/MT,ETH-DEL-USG,50,,787.5,1125.0,326.0,978.0,489.0,2,815.0,4,30,0,ACTIVE,ANNUAL
111,CTR-00077,CUST-00077,PP-002,2025-05-31,2026-05-31,ETH-DEL-USG + $30/MT,ETH-DEL-USG,30,,1102.5,1575.0,369.0,1107.0,553.5,2,922.5,4,30,0,ACTIVE,MULTI_YEAR
112,CTR-00077,CUST-00077,LLDPE-001,2025-08-26,2026-08-26,ETH-DEL-USG + $100/MT,ETH-DEL-USG,100,,1344.0,1920.0,369.0,1107.0,553.5,2,922.5,4,30,0,ACTIVE,MULTI_YEAR
113,CTR-00077,CUST-00077,PP-COPOLY,2025-12-15,2026-12-15,BEN-FOB-USG + $75/MT,BEN-FOB-USG,75,,1522.5,2175.0,369.0,1107.0,553.5,2,922.5,4,30,0,ACTIVE,ANNUAL
114,CTR-00077,CUST-00077,MMA-001,2025-08-24,2026-08-24,ETH-DEL-USG + $30/MT,ETH-DEL-USG,30,,1680.0,2400.0,369.0,1107.0,553.5,2,922.5,4,30,0,ACTIVE,ANNUAL
115,CTR-00078,CUST-00078,BUT-001,2025-04-16,2026-04-16,BEN-FOB-USG + $50/MT,BEN-FOB-USG,50,,1260.0,1800.0,38.0,114.0,57.0,2,95.0,4,45,1,ACTIVE,ANNUAL
116,CTR-00078,CUST-00078,BEN-001,2025-09-15,2026-09-15,ETH-DEL-USG + $50/MT,ETH-DEL-USG,50,,945.0,1350.0,38.0,114.0,57.0,2,95.0,4,45,1,ACTIVE,ANNUAL
117,CTR-00081,CUST-00081,BEN-001,2025-11-05,2026-11-05,PP-DEL-USG + $-25/MT,PP-DEL-USG,-25,,945.0,1350.0,497.0,1491.0,745.5,2,1242.5,4,30,0,ACTIVE,ANNUAL
