report_id,report_date,report_type,report_title,report_source,chemical_name,region,report_summary,report_content,file_path,author
11,2025-08-12,EARNINGS_CALL,Aromatics Market Update: Latin America - August 2025,Morgan Stanley,Benzene,Latin America,The spread between Benzene and feedstock naphtha has widened to $223/MT. Producers report margins are healthy. Contract negotiations for next quarter are concluded....,The spread between Benzene and feedstock naphtha has widened to $223/MT. Producers report margins are healthy. Contract negotiations for next quarter are concluded.,@MARKET_DOCUMENTS/Aromatics/2025-08.pdf,Michael Smith
12,2025-08-12,ANALYST_REPORT,Aromatics Market Update: Asia Pacific - August 2025,IHS Markit,Toluene,Asia Pacific,"Price assessment: Toluene CFR Asia Pacific is trading at $1144/MT, increased $-31/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements....","Price assessment: Toluene CFR Asia Pacific is trading at $1144/MT, increased $-31/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Aromatics/2025-08.pdf,Sarah Johnson
13,2025-08-18,SUPPLY_ANALYSIS,Intermediates Market Update: Europe - August 2025,Goldman Sachs,Monoethylene Glycol,Europe,Supply constraints for Monoethylene Glycol in Europe are expected to persist through Q3. Key factors include planned maintenance at 2 major facilities and unexpected outages in the upstream naphtha su...,Supply constraints for Monoethylene Glycol in Europe are expected to persist through Q3. Key factors include planned maintenance at 2 major facilities and unexpected outages in the upstream naphtha supply chain. Prices have risen 14.0% week-over-week.,@MARKET_DOCUMENTS/Intermediates/2025-08.pdf,Emily Smith
14,2025-08-18,ANALYST_REPORT,Olefins Market Update: North America - August 2025,Wood Mackenzie,Propylene Chemical Grade,North America,The spread between Propylene Chemical Grade and feedstock naphtha has widened to $183/MT. Producers report margins are under pressure. Contract negotiations for next quarter are ongoing....,The spread between Propylene Chemical Grade and feedstock naphtha has widened to $183/MT. Producers report margins are under pressure. Contract negotiations for next quarter are ongoing.,@MARKET_DOCUMENTS/Olefins/2025-08.pdf,John Chen
15,2025-08-18,ANALYST_REPORT,Olefins Market Update: Europe - August 2025,ChemWeek,Propylene Polymer Grade,Europe,"Price assessment: Propylene Polymer Grade CFR Europe is trading at $1570/MT, decreased $-1/MT from last week. Market participants expect prices to remain stable in the coming weeks based on feedstock ...","Price assessment: Propylene Polymer Grade CFR Europe is trading at $1570/MT, decreased $-1/MT from last week. Market participants expect prices to remain stable in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Olefins/2025-08.pdf,John Williams
16,2025-08-18,EARNINGS_CALL,Intermediates Market Update: North America - August 2025,Morgan Stanley,Methyl Methacrylate,North America,The spread between Methyl Methacrylate and feedstock naphtha has narrowed to $173/MT. Producers report margins are improving. Contract negotiations for next quarter are ongoing....,The spread between Methyl Methacrylate and feedstock naphtha has narrowed to $173/MT. Producers report margins are improving. Contract negotiations for next quarter are ongoing.,@MARKET_DOCUMENTS/Intermediates/2025-08.pdf,Emily Johnson
17,2025-08-18,SUPPLY_ANALYSIS,Intermediates Market Update: Europe - August 2025,Wood Mackenzie,Methyl Methacrylate,Europe,Supply constraints for Methyl Methacrylate in Europe are expected to persist through Q3. Key factors include planned maintenance at 2 major facilities and unexpected outages in the upstream naphtha su...,Supply constraints for Methyl Methacrylate in Europe are expected to persist through Q3. Key factors include planned maintenance at 2 major facilities and unexpected outages in the upstream naphtha supply chain. Prices have risen -2.0% week-over-week.,@MARKET_DOCUMENTS/Intermediates/2025-08.pdf,John Smith
18,2025-08-24,ANALYST_REPORT,Aromatics Market Update: Europe - August 2025,Wood Mackenzie,Styrene Monomer,Europe,The spread between Styrene Monomer and feedstock naphtha has stabilized to $158/MT. Producers report margins are improving. Contract negotiations for next quarter are ongoing....,The spread between Styrene Monomer and feedstock naphtha has stabilized to $158/MT. Producers report margins are improving. Contract negotiations for next quarter are ongoing.,@MARKET_DOCUMENTS/Aromatics/2025-08.pdf,Emily Chen
19,2025-08-24,MARKET_OUTLOOK,Aromatics Market Update: Latin America - August 2025,Morgan Stanley,Toluene,Latin America,Consumer demand in Latin America for Toluene-based products has remained stable following seasonal patterns. Packaging demand is moderate while industrial applications show improving growth....,Consumer demand in Latin America for Toluene-based products has remained stable following seasonal patterns. Packaging demand is moderate while industrial applications show improving growth.,@MARKET_DOCUMENTS/Aromatics/2025-08.pdf,John Smith
20,2025-08-30,MARKET_OUTLOOK,Polymers Market Update: Middle East - August 2025,ChemWeek,Polypropylene Copolymer,Middle East,Demand for Polypropylene Copolymer in Middle East has remained stable by -1.0% compared to the same period last year. Key end-use sectors driving this trend include automotive and agriculture. Invento...,Demand for Polypropylene Copolymer in Middle East has remained stable by -1.0% compared to the same period last year. Key end-use sectors driving this trend include automotive and agriculture. Inventory levels at converters remain high.,@MARKET_DOCUMENTS/Polymers/2025-08.pdf,Emily Johnson
21,2025-08-30,EARNINGS_CALL,Olefins Market Update: Europe - August 2025,IHS Markit,Ethylene,Europe,"Price assessment: Ethylene CFR Europe is trading at $1332/MT, remained stable $24/MT from last week. Market participants expect prices to remain stable in the coming weeks based on feedstock movements...","Price assessment: Ethylene CFR Europe is trading at $1332/MT, remained stable $24/MT from last week. Market participants expect prices to remain stable in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Olefins/2025-08.pdf,Michael Williams
22,2025-08-30,ANALYST_REPORT,Aromatics Market Update: North America - August 2025,Goldman Sachs,Mixed Xylenes,North America,The spread between Mixed Xylenes and feedstock naphtha has stabilized to $203/MT. Producers report margins are under pressure. Contract negotiations for next quarter are concluded....,The spread between Mixed Xylenes and feedstock naphtha has stabilized to $203/MT. Producers report margins are under pressure. Contract negotiations for next quarter are concluded.,@MARKET_DOCUMENTS/Aromatics/2025-08.pdf,Emily Smith
23,2025-08-30,EARNINGS_CALL,Olefins Market Update: North America - August 2025,ICIS,Propylene Chemical Grade,North America,The spread between Propylene Chemical Grade and feedstock naphtha has stabilized to $372/MT. Producers report margins are improving. Contract negotiations for next quarter are ongoing....,The spread between Propylene Chemical Grade and feedstock naphtha has stabilized to $372/MT. Producers report margins are improving. Contract negotiations for next quarter are ongoing.,@MARKET_DOCUMENTS/Olefins/2025-08.pdf,John Smith
24,2025-09-05,TRADE_JOURNAL,Aromatics Market Update: Europe - September 2025,ICIS,Mixed Xylenes,Europe,The spread between Mixed Xylenes and feedstock naphtha has narrowed to $295/MT. Producers report margins are improving. Contract negotiations for next quarter are ongoing....,The spread between Mixed Xylenes and feedstock naphtha has narrowed to $295/MT. Producers report margins are improving. Contract negotiations for next quarter are ongoing.,@MARKET_DOCUMENTS/Aromatics/2025-09.pdf,John Chen
25,2025-09-05,ANALYST_REPORT,Polymers Market Update: Middle East - September 2025,ChemWeek,Polypropylene Homopolymer,Middle East,"Price assessment: Polypropylene Homopolymer CFR Middle East is trading at $1169/MT, increased $57/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock ...","Price assessment: Polypropylene Homopolymer CFR Middle East is trading at $1169/MT, increased $57/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Polymers/2025-09.pdf,Emily Chen
26,2025-09-05,EARNINGS_CALL,Aromatics Market Update: Latin America - September 2025,Morgan Stanley,Styrene Monomer,Latin America,"Price assessment: Styrene Monomer CFR Latin America is trading at $1896/MT, remained stable $22/MT from last week. Market participants expect prices to remain stable in the coming weeks based on feeds...","Price assessment: Styrene Monomer CFR Latin America is trading at $1896/MT, remained stable $22/MT from last week. Market participants expect prices to remain stable in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Aromatics/2025-09.pdf,John Williams
27,2025-09-11,SUPPLY_ANALYSIS,Polymers Market Update: Latin America - September 2025,Wood Mackenzie,LDPE Injection Grade,Latin America,Supply constraints for LDPE Injection Grade in Latin America are expected to persist through Q3. Key factors include planned maintenance at 5 major facilities and unexpected outages in the upstream na...,Supply constraints for LDPE Injection Grade in Latin America are expected to persist through Q3. Key factors include planned maintenance at 5 major facilities and unexpected outages in the upstream naphtha supply chain. Prices have risen 7.7% week-over-week.,@MARKET_DOCUMENTS/Polymers/2025-09.pdf,Michael Chen
28,2025-09-11,TRADE_JOURNAL,Polymers Market Update: Asia Pacific - September 2025,Wood Mackenzie,HDPE Film Grade,Asia Pacific,"Price assessment: HDPE Film Grade CFR Asia Pacific is trading at $1854/MT, remained stable $16/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock mov...","Price assessment: HDPE Film Grade CFR Asia Pacific is trading at $1854/MT, remained stable $16/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Polymers/2025-09.pdf,Michael Chen
29,2025-09-11,SUPPLY_ANALYSIS,Aromatics Market Update: Asia Pacific - September 2025,IHS Markit,Mixed Xylenes,Asia Pacific,The Asia Pacific Mixed Xylenes market is experiencing tightness due to reduced imports from Asia. Local producers are operating at 76% capacity utilization. Spot availability is limited with premiums ...,The Asia Pacific Mixed Xylenes market is experiencing tightness due to reduced imports from Asia. Local producers are operating at 76% capacity utilization. Spot availability is limited with premiums of $77/MT over contract prices.,@MARKET_DOCUMENTS/Aromatics/2025-09.pdf,John Smith
30,2025-09-11,TRADE_JOURNAL,Olefins Market Update: Middle East - September 2025,IHS Markit,Butadiene,Middle East,The spread between Butadiene and feedstock naphtha has widened to $328/MT. Producers report margins are healthy. Contract negotiations for next quarter are contentious....,The spread between Butadiene and feedstock naphtha has widened to $328/MT. Producers report margins are healthy. Contract negotiations for next quarter are contentious.,@MARKET_DOCUMENTS/Olefins/2025-09.pdf,Michael Johnson
31,2025-09-11,SUPPLY_ANALYSIS,Intermediates Market Update: Europe - September 2025,IHS Markit,Monoethylene Glycol,Europe,Force majeure declared at Global Chemical Co Monoethylene Glycol unit in Europe has removed approximately 500kt/year of capacity from the market. Recovery is expected in 8 weeks. Buyers are seeking al...,Force majeure declared at Global Chemical Co Monoethylene Glycol unit in Europe has removed approximately 500kt/year of capacity from the market. Recovery is expected in 8 weeks. Buyers are seeking alternative sources.,@MARKET_DOCUMENTS/Intermediates/2025-09.pdf,Sarah Williams
32,2025-09-17,MARKET_OUTLOOK,Polymers Market Update: Middle East - September 2025,ChemWeek,Polystyrene GPPS,Middle East,The Middle East Polystyrene GPPS market outlook remains positive for the next quarter. Automotive and construction sectors are showing weak demand signals. Export opportunities to Europe are expanding...,The Middle East Polystyrene GPPS market outlook remains positive for the next quarter. Automotive and construction sectors are showing weak demand signals. Export opportunities to Europe are expanding.,@MARKET_DOCUMENTS/Polymers/2025-09.pdf,Michael Johnson
33,2025-09-17,EARNINGS_CALL,Olefins Market Update: North America - September 2025,ChemWeek,Ethylene,North America,"Price assessment: Ethylene CFR North America is trading at $860/MT, decreased $48/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements....","Price assessment: Ethylene CFR North America is trading at $860/MT, decreased $48/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Olefins/2025-09.pdf,Emily Williams
34,2025-09-23,MARKET_OUTLOOK,Aromatics Market Update: Europe - September 2025,Morgan Stanley,Styrene Monomer,Europe,Demand for Styrene Monomer in Europe has decreased by 3.0% compared to the same period last year. Key end-use sectors driving this trend include electronics and consumer goods. Inventory levels at con...,Demand for Styrene Monomer in Europe has decreased by 3.0% compared to the same period last year. Key end-use sectors driving this trend include electronics and consumer goods. Inventory levels at converters remain high.,@MARKET_DOCUMENTS/Aromatics/2025-09.pdf,John Smith
35,2025-09-23,TRADE_JOURNAL,Aromatics Market Update: Asia Pacific - September 2025,ChemWeek,Toluene,Asia Pacific,"Price assessment: Toluene CFR Asia Pacific is trading at $1668/MT, increased $-30/MT from last week. Market participants expect prices to strengthen in the coming weeks based on feedstock movements....","Price assessment: Toluene CFR Asia Pacific is trading at $1668/MT, increased $-30/MT from last week. Market participants expect prices to strengthen in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Aromatics/2025-09.pdf,Sarah Williams
36,2025-09-23,TRADE_JOURNAL,Aromatics Market Update: Europe - September 2025,IHS Markit,Benzene,Europe,The spread between Benzene and feedstock naphtha has narrowed to $317/MT. Producers report margins are under pressure. Contract negotiations for next quarter are ongoing....,The spread between Benzene and feedstock naphtha has narrowed to $317/MT. Producers report margins are under pressure. Contract negotiations for next quarter are ongoing.,@MARKET_DOCUMENTS/Aromatics/2025-09.pdf,Emily Johnson
37,2025-09-23,SUPPLY_ANALYSIS,Polymers Market Update: Europe - September 2025,Morgan Stanley,PVC Suspension Grade,Europe,The Europe PVC Suspension Grade market is experiencing tightness due to reduced imports from Asia. Local producers are operating at 90% capacity utilization. Spot availability is limited with premiums...,The Europe PVC Suspension Grade market is experiencing tightness due to reduced imports from Asia. Local producers are operating at 90% capacity utilization. Spot availability is limited with premiums of $81/MT over contract prices.,@MARKET_DOCUMENTS/Polymers/2025-09.pdf,John Smith
38,2025-09-23,SUPPLY_ANALYSIS,Aromatics Market Update: Asia Pacific - September 2025,ICIS,Styrene Monomer,Asia Pacific,The Asia Pacific Styrene Monomer market is experiencing tightness due to reduced imports from Asia. Local producers are operating at 78% capacity utilization. Spot availability is limited with premium...,The Asia Pacific Styrene Monomer market is experiencing tightness due to reduced imports from Asia. Local producers are operating at 78% capacity utilization. Spot availability is limited with premiums of $45/MT over contract prices.,@MARKET_DOCUMENTS/Aromatics/2025-09.pdf,Emily Williams
39,2025-09-29,SUPPLY_ANALYSIS,Polymers Market Update: Europe - September 2025,Wood Mackenzie,Polypropylene Copolymer,Europe,Force majeure declared at Regional Supplier Polypropylene Copolymer unit in Europe has removed approximately 308kt/year of capacity from the market. Recovery is expected in 3 weeks. Buyers are seeking...,Force majeure declared at Regional Supplier Polypropylene Copolymer unit in Europe has removed approximately 308kt/year of capacity from the market. Recovery is expected in 3 weeks. Buyers are seeking alternative sources.,@MARKET_DOCUMENTS/Polymers/2025-09.pdf,Emily Smith
40,2025-09-29,TRADE_JOURNAL,Polymers Market Update: Europe - September 2025,Goldman Sachs,PVC Suspension Grade,Europe,The spread between PVC Suspension Grade and feedstock naphtha has widened to $400/MT. Producers report margins are healthy. Contract negotiations for next quarter are contentious....,The spread between PVC Suspension Grade and feedstock naphtha has widened to $400/MT. Producers report margins are healthy. Contract negotiations for next quarter are contentious.,@MARKET_DOCUMENTS/Polymers/2025-09.pdf,Michael Smith
41,2025-09-29,MARKET_OUTLOOK,Intermediates Market Update: Latin America - September 2025,Platts,Diethylene Glycol,Latin America,The Latin America Diethylene Glycol market outlook remains challenging for the next quarter. Automotive and construction sectors are showing mixed demand signals. Export opportunities to Latin America...,The Latin America Diethylene Glycol market outlook remains challenging for the next quarter. Automotive and construction sectors are showing mixed demand signals. Export opportunities to Latin America are limited.,@MARKET_DOCUMENTS/Intermediates/2025-09.pdf,Emily Smith
42,2025-09-29,ANALYST_REPORT,Aromatics Market Update: Latin America - September 2025,ICIS,Toluene,Latin America,"Price assessment: Toluene CFR Latin America is trading at $835/MT, remained stable $4/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements....","Price assessment: Toluene CFR Latin America is trading at $835/MT, remained stable $4/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Aromatics/2025-09.pdf,John Chen
43,2025-10-05,SUPPLY_ANALYSIS,Aromatics Market Update: Europe - October 2025,Wood Mackenzie,Benzene,Europe,Force majeure declared at Major Producer Benzene unit in Europe has removed approximately 380kt/year of capacity from the market. Recovery is expected in 6 weeks. Buyers are seeking alternative source...,Force majeure declared at Major Producer Benzene unit in Europe has removed approximately 380kt/year of capacity from the market. Recovery is expected in 6 weeks. Buyers are seeking alternative sources.,@MARKET_DOCUMENTS/Aromatics/2025-10.pdf,John Johnson
44,2025-10-05,ANALYST_REPORT,Intermediates Market Update: Latin America - October 2025,Morgan Stanley,Monoethylene Glycol,Latin America,The spread between Monoethylene Glycol and feedstock naphtha has narrowed to $196/MT. Producers report margins are improving. Contract negotiations for next quarter are contentious....,The spread between Monoethylene Glycol and feedstock naphtha has narrowed to $196/MT. Producers report margins are improving. Contract negotiations for next quarter are contentious.,@MARKET_DOCUMENTS/Intermediates/2025-10.pdf,Sarah Smith
45,2025-10-05,TRADE_JOURNAL,Polymers Market Update: Europe - October 2025,Goldman Sachs,Polypropylene Homopolymer,Europe,"Price assessment: Polypropylene Homopolymer CFR Europe is trading at $1167/MT, increased $-25/MT from last week. Market participants expect prices to remain stable in the coming weeks based on feedsto...","Price assessment: Polypropylene Homopolymer CFR Europe is trading at $1167/MT, increased $-25/MT from last week. Market participants expect prices to remain stable in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Polymers/2025-10.pdf,Michael Chen
46,2025-10-05,MARKET_OUTLOOK,Polymers Market Update: North America - October 2025,Goldman Sachs,HDPE Film Grade,North America,The North America HDPE Film Grade market outlook remains cautious for the next quarter. Automotive and construction sectors are showing weak demand signals. Export opportunities to Latin America are c...,The North America HDPE Film Grade market outlook remains cautious for the next quarter. Automotive and construction sectors are showing weak demand signals. Export opportunities to Latin America are competitive.,@MARKET_DOCUMENTS/Polymers/2025-10.pdf,Michael Chen
47,2025-10-11,MARKET_OUTLOOK,Intermediates Market Update: Middle East - October 2025,Wood Mackenzie,Methyl Methacrylate,Middle East,Consumer demand in Middle East for Methyl Methacrylate-based products has decreased following seasonal patterns. Packaging demand is subdued while industrial applications show improving growth....,Consumer demand in Middle East for Methyl Methacrylate-based products has decreased following seasonal patterns. Packaging demand is subdued while industrial applications show improving growth.,@MARKET_DOCUMENTS/Intermediates/2025-10.pdf,John Williams
48,2025-10-11,EARNINGS_CALL,Polymers Market Update: Europe - October 2025,ChemWeek,Polypropylene Homopolymer,Europe,The spread between Polypropylene Homopolymer and feedstock naphtha has stabilized to $233/MT. Producers report margins are under pressure. Contract negotiations for next quarter are ongoing....,The spread between Polypropylene Homopolymer and feedstock naphtha has stabilized to $233/MT. Producers report margins are under pressure. Contract negotiations for next quarter are ongoing.,@MARKET_DOCUMENTS/Polymers/2025-10.pdf,Sarah Williams
49,2025-10-11,MARKET_OUTLOOK,Polymers Market Update: North America - October 2025,ICIS,Polystyrene GPPS,North America,Consumer demand in North America for Polystyrene GPPS-based products has remained stable following seasonal patterns. Packaging demand is moderate while industrial applications show improving growth....,Consumer demand in North America for Polystyrene GPPS-based products has remained stable following seasonal patterns. Packaging demand is moderate while industrial applications show improving growth.,@MARKET_DOCUMENTS/Polymers/2025-10.pdf,Michael Smith
50,2025-10-11,SUPPLY_ANALYSIS,Polymers Market Update: Europe - October 2025,Goldman Sachs,LDPE Injection Grade,Europe,The Europe LDPE Injection Grade market is experiencing tightness due to reduced imports from Asia. Local producers are operating at 93% capacity utilization. Spot availability is limited with premiums...,The Europe LDPE Injection Grade market is experiencing tightness due to reduced imports from Asia. Local producers are operating at 93% capacity utilization. Spot availability is limited with premiums of $61/MT over contract prices.,@MARKET_DOCUMENTS/Polymers/2025-10.pdf,Michael Johnson
51,2025-10-17,MARKET_OUTLOOK,Intermediates Market Update: North America - October 2025,IHS Markit,Acrylonitrile,North America,Demand for Acrylonitrile in North America has increased by -7.0% compared to the same period last year. Key end-use sectors driving this trend include automotive and agriculture. Inventory levels at c...,Demand for Acrylonitrile in North America has increased by -7.0% compared to the same period last year. Key end-use sectors driving this trend include automotive and agriculture. Inventory levels at converters remain low.,@MARKET_DOCUMENTS/Intermediates/2025-10.pdf,John Chen
52,2025-10-17,MARKET_OUTLOOK,Aromatics Market Update: Latin America - October 2025,ChemWeek,Toluene,Latin America,The Latin America Toluene market outlook remains cautious for the next quarter. Automotive and construction sectors are showing strong demand signals. Export opportunities to Latin America are competi...,The Latin America Toluene market outlook remains cautious for the next quarter. Automotive and construction sectors are showing strong demand signals. Export opportunities to Latin America are competitive.,@MARKET_DOCUMENTS/Aromatics/2025-10.pdf,John Chen
53,2025-10-17,SUPPLY_ANALYSIS,Polymers Market Update: Asia Pacific - October 2025,Morgan Stanley,Polystyrene GPPS,Asia Pacific,Supply constraints for Polystyrene GPPS in Asia Pacific are expected to persist through Q4. Key factors include planned maintenance at 4 major facilities and unexpected outages in the upstream naphtha...,Supply constraints for Polystyrene GPPS in Asia Pacific are expected to persist through Q4. Key factors include planned maintenance at 4 major facilities and unexpected outages in the upstream naphtha supply chain. Prices have risen 6.6% week-over-week.,@MARKET_DOCUMENTS/Polymers/2025-10.pdf,John Johnson
54,2025-10-17,SUPPLY_ANALYSIS,Aromatics Market Update: Latin America - October 2025,ICIS,Styrene Monomer,Latin America,Force majeure declared at Major Producer Styrene Monomer unit in Latin America has removed approximately 170kt/year of capacity from the market. Recovery is expected in 5 weeks. Buyers are seeking alt...,Force majeure declared at Major Producer Styrene Monomer unit in Latin America has removed approximately 170kt/year of capacity from the market. Recovery is expected in 5 weeks. Buyers are seeking alternative sources.,@MARKET_DOCUMENTS/Aromatics/2025-10.pdf,John Williams
55,2025-10-17,TRADE_JOURNAL,Aromatics Market Update: Asia Pacific - October 2025,Morgan Stanley,Toluene,Asia Pacific,The spread between Toluene and feedstock naphtha has narrowed to $244/MT. Producers report margins are improving. Contract negotiations for next quarter are concluded....,The spread between Toluene and feedstock naphtha has narrowed to $244/MT. Producers report margins are improving. Contract negotiations for next quarter are concluded.,@MARKET_DOCUMENTS/Aromatics/2025-10.pdf,Sarah Chen
56,2025-10-23,TRADE_JOURNAL,Intermediates Market Update: North America - October 2025,IHS Markit,Diethylene Glycol,North America,"Price assessment: Diethylene Glycol CFR North America is trading at $1023/MT, increased $45/MT from last week. Market participants expect prices to strengthen in the coming weeks based on feedstock mo...","Price assessment: Diethylene Glycol CFR North America is trading at $1023/MT, increased $45/MT from last week. Market participants expect prices to strengthen in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Intermediates/2025-10.pdf,Michael Williams
57,2025-10-23,TRADE_JOURNAL,Olefins Market Update: Latin America - October 2025,IHS Markit,Butadiene,Latin America,"Price assessment: Butadiene CFR Latin America is trading at $1817/MT, increased $-37/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements....","Price assessment: Butadiene CFR Latin America is trading at $1817/MT, increased $-37/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Olefins/2025-10.pdf,John Chen
58,2025-10-23,EARNINGS_CALL,Olefins Market Update: Europe - October 2025,Wood Mackenzie,Propylene Chemical Grade,Europe,"Price assessment: Propylene Chemical Grade CFR Europe is trading at $1848/MT, increased $-3/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock moveme...","Price assessment: Propylene Chemical Grade CFR Europe is trading at $1848/MT, increased $-3/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Olefins/2025-10.pdf,Michael Williams
